Time,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other
192705,5.83,11.32,11.5,-0.12,2.83,10.24,3.07,3.82,3.55,12.91,7.21,2.92,8.44,7.93,5.24,10.72,-0.05,2.89,4.7,8.91,3.05,18.03,4.8,5.06,6.76,-4.31,1.94,4.32,9.73,1.34
192706,-2.48,9.79,-2.56,-8,12.28,-3.29,0.91,0.28,-1.98,2.03,-4.95,-3.68,-2.55,3.21,-3.63,-4.16,-2.19,-3.61,-3.4,-3.83,-2.4,-7.06,2.47,5.18,-2.28,-4.44,-0.96,1.01,-0.32,-4.08
192707,4.74,4.29,4.09,0.84,1.48,5.2,5.71,9.54,17.39,4.05,6.05,10.03,9.31,14.39,13.41,11.69,8.42,1.89,2.61,5.01,3.43,1.85,5.89,11.72,5.67,10.81,9.81,4.38,6.2,6.51
192708,2.05,-4.26,3.55,5.92,5.18,0.24,1.28,0,1.82,0.21,-1.45,3.69,0.62,6.78,7.04,3.69,0.69,2.15,-0.54,3.15,0.15,7.78,1.97,3.48,-1.94,-2.86,7.4,0.27,1.53,5.64
192709,5.83,6.8,4.42,3.97,9.83,2.32,4.44,5.44,5.76,1.68,4.35,3.56,5.09,-0.1,6.07,3.52,6.62,1.25,3.29,8.08,6.32,1.94,3.96,3.16,4.11,5.39,7.4,5.73,5.77,0.22
192710,-2.71,-1.05,-0.57,0.01,2.38,-2.09,9.4,4.88,-7.71,-2.64,-4.79,-8.07,-5.46,-8.47,-4.8,-6.96,-3.42,-5.58,-1.98,-4.59,-2.34,4.72,-4.91,-0.11,-4.86,-22.03,-5.28,-2,3.76,-3.87
192711,6.96,10.08,6.48,3.37,16.41,2.52,1.85,3.47,8.83,4.9,5.32,12.23,11.29,11.17,6.56,7.93,8.03,7.27,3.66,6.11,2.62,2.09,9.17,16.66,3.71,-1.51,11.9,2.8,7.71,10.98
192712,3.31,12.5,0.81,2.59,3.05,10.09,-0.37,-0.68,-0.45,2.19,-0.17,5.62,2.7,0.97,7.45,2.54,13.21,-3.55,1.06,2.02,1.11,-8.05,1.08,0.82,-0.15,11.23,-0.88,-1.78,10.95,0.85
192801,2.29,0.37,-2.81,-0.62,4.91,3.42,6.82,2.44,-1.33,-1.35,1.59,-2.67,-1.49,-1.26,-3.4,3.94,-1.91,-4.04,-1.94,5.62,0.05,0.31,0.93,1.26,-1.5,-1.2,-1.1,-1.83,1.23,-3.63
192802,-3.29,-5.55,-6.3,-1.22,-2.08,-0.34,-2.78,-1.71,0.4,-5.1,1.25,-3.05,-3.09,-1.79,0.61,-4.93,-7.92,-1.66,-0.45,-1.01,-0.63,-0.85,1.69,0.53,-1.71,-8.62,-1.37,-2.92,-3.23,-3.01
192803,4.82,14.18,2.05,8.53,4.97,9.7,3.7,10.25,12.87,7.34,6.3,5.87,6.21,25.88,27.57,6.24,7.08,4.94,5.04,6.33,1.67,-2.73,2.94,10.79,5.43,7.83,8.4,3.18,9.27,8.56
192804,2.47,4.65,-6.17,5.18,21.01,3.37,9.74,2.13,-0.48,-4.26,2.68,1.21,3.26,2.22,0.87,2.06,-0.79,1.73,16.03,10.72,3,2.2,1.38,-0.47,4.23,-6.07,-0.25,0.25,8.97,10.73
192805,1.28,5.16,-0.35,1.53,17.36,-2.84,-1.31,8.95,2.66,-6.43,-0.75,5.2,4.47,1.44,5.58,-1.95,0.84,0.17,-6.04,1.19,6.29,0.46,3.56,5.81,-0.76,7.63,3.12,13.8,1.74,-1.12
192806,-4.24,-4.52,-4.61,-5.36,-11.09,-6.98,-7.44,-3.46,-3.26,-10.92,-4.17,-6.15,-3.5,-6.02,-4.38,-6.16,-3.87,-6.39,-4.22,-3.74,-5.53,-5.56,-3.37,-6.05,-4.17,-7.72,-3.71,-3.12,-10.27,-12.26
192807,0.74,0.38,3.03,1.24,0.81,0.36,0.21,2.07,1.5,-4.02,1.6,2.42,0.09,-1.33,0.96,-1.87,-1.56,-1.34,0.86,-1.56,-1.6,-5.26,5.02,4.02,-0.66,0.03,5.4,-0.92,0.01,-1.12
192808,7.53,12.08,3.47,9.16,6.16,9.23,-0.14,14.25,8.57,1.59,4.06,9.31,7.26,11.98,8.78,5.62,7.86,1.52,2.12,6.14,4.23,14.84,2.69,12.37,3.71,3.74,13.37,12.05,4.84,12.46
192809,1.47,-0.01,-0.66,10.75,-2.63,10.2,-1.4,-1.41,3.5,3.3,5.03,5.31,3.55,0,7.95,-0.71,2.74,-1.33,5.47,3.49,-0.12,-0.44,1.54,-1.89,0.05,0.78,-0.11,-0.29,1.56,-4.33
192810,-0.88,3.63,3.03,-1.62,5.21,7.74,-3.96,-0.36,4.82,5.55,5.49,6.1,1.72,1.69,-0.45,-1.71,3.01,-2.1,1.85,-2.3,2.56,4.81,0.72,-5.88,-1.72,17.84,5.69,-2.6,2.2,-5.62
192811,6.24,5.32,6.41,10.02,0.63,16.2,2.18,4.67,12.01,8.71,8.92,14.52,15.4,23.12,4.32,9.75,14.73,5.94,17.47,21.55,6.3,17.39,7.84,4.72,8.9,11.57,15.14,9.13,9.56,3.39
192812,0.5,-3.9,-1.98,-0.72,-0.55,-3.69,-0.44,-0.47,2.27,-5.93,1.03,3.78,3.24,6.97,-0.08,1.27,1.9,-0.64,-4.61,1.51,-0.44,-7.69,7.43,1.65,0.15,-3.91,-1.3,-3.16,1,-12.65
192901,3.15,9.12,3.45,9.92,1.18,6.29,-2.22,3.09,22.54,-1.56,7.58,7.44,11.84,12.45,0.62,0.54,8.14,1.41,-8.43,12.83,13.04,-0.98,2.5,5.24,4.39,-5.29,-4.31,-0.46,7.78,0.87
192902,-2.03,-4.42,-5,0.8,-1.85,-7.28,-4.44,-0.31,-0.55,1.99,-3.74,8.47,0.84,-1.67,0.06,0.56,8.07,0.53,-0.52,-2.35,-1.51,10.66,1.08,5.86,-1.82,-3.55,-2.85,-0.2,0.47,-6.54
192903,-5.04,-3.24,-4.53,-10.17,-7.39,-7.99,-5.66,-1.84,-3.71,-7.61,-6.47,-0.41,-4.54,4.91,-1.68,0.35,3.76,-6.86,11.73,-3.51,3.95,-1.76,1.58,1.18,-3.18,-9.91,-5.47,-3.87,-1.49,-7.75
192904,3.32,13.27,-2.77,0.31,1.37,0.2,3.26,1.12,3.4,2.38,3.36,0.79,3.87,0.7,-1.59,-0.64,-6.22,-2.53,0.53,4.77,3.03,3.58,3.92,7.55,0.96,3.22,3.2,10.01,0.15,-11.09
192905,-5.54,-11.44,-0.65,-8.51,-0.13,-10.81,-6.98,-8.28,-7.46,-14.3,-7.33,-12.85,-10.1,0.39,-15.6,-8.14,-11.43,-5.42,-6.04,4.36,-9.21,-5.36,-1.79,-8.61,2.03,-6.98,-9.29,-3.34,-3.67,-13.65
192906,7.57,11.99,-0.65,5.39,10.12,14.19,5.11,4,19.46,1.98,7.13,10.19,14.73,18.71,6.34,10.22,1.9,1.66,0.57,22.95,13.18,18.49,9.47,12.07,5.48,-3.49,8.69,18.59,5.78,4.56
192907,4.56,1.28,1.72,-2.52,0.61,6.22,-4.32,2.26,4.79,-4.01,3.63,3.14,4.89,9.77,-4.25,4.69,-2.69,19.49,-1.19,8.81,13.35,-1.06,5.39,6.48,7.96,-3.34,0.73,1.5,8.03,4.16
192908,3.77,9.39,7.89,5.81,1.1,3.12,0.57,2.69,11.42,-0.14,2.52,11.42,10.22,12.98,1.63,1.59,8.52,4.86,11.34,8.65,10.58,-4.11,8.58,9.05,7.91,-6.19,7.75,4.31,5.42,-3.39
192909,-2.64,-2.61,-7.97,-1.99,-2.06,6.44,-4.46,-7.37,-7.14,-3.6,-3.37,-9.31,-6.11,-11.82,-9.33,-9.47,-5.14,-2.4,-3.36,0.97,-1.72,38.35,9.45,-4.94,-8.06,-1.01,-5.97,-3.56,-6.1,-0.53
192910,-15.03,-26.72,1.86,-17.8,-12.68,-32.92,-9.79,-18.48,-25.13,-21.78,-17.44,-15.96,-22.88,-30.66,-28.57,-22.09,-13.48,-7.1,-10.73,-30.5,-15.85,-14.05,-19.39,-15.3,-8.49,-23.66,-24.59,-20.05,-29.3,-33.09
192911,-9.9,-12.22,-6.57,-18.38,-3.73,-15.1,-10.61,-8.27,-16.41,-16.18,-11.01,-14.2,-14.34,-18.72,-18,-10.71,-15.37,-5.14,-6.89,-15.01,-9.84,-10.35,-22.33,-14.58,-8.25,-7.04,-12.85,-10.65,-14.25,-15.67
192912,-0.49,1.66,2.35,-9.07,-0.16,0.76,3.33,0.74,5.98,-6.63,-1.66,-0.82,2.89,12.43,3.6,2.79,-2.07,-5.92,-1.28,7.57,0.64,-2.2,3.83,-0.67,-0.37,-1.18,-6.85,3.3,-0.77,-9.03
193001,4.91,-8.75,8.42,27.98,1.96,10.18,3.54,2.41,8.03,10.36,7.05,5.55,8.29,10.81,6.24,2.26,5.95,0.19,-0.96,7.11,1.06,-48.99,9.29,7.43,3.73,2.97,4.27,11.59,9.6,31.64
193002,-0.32,0.85,5.22,16.88,6.62,-9.19,-0.62,2.85,2.16,5.4,0.3,-0.21,4.43,7.53,3.31,5.98,-1.24,4.22,-5.34,8.27,6.76,58.6,7.15,8.04,1.79,-4.92,-5.65,-0.15,5.55,-2.27
193003,0.66,-8.62,3.95,15.53,2.12,-0.54,6.95,5.64,9.95,-2.91,3.2,5.19,4.86,8.78,12.33,5.56,1.4,0.6,18.73,9.37,8.44,9.06,4.15,5.8,3.55,-5.26,-3.09,4.57,8.39,5.91
193004,3.02,-11.54,-3.09,4.58,0.74,-1.74,-1.34,-1.48,-5.52,-10.09,-5.62,-13.59,6.03,2.76,-8.83,-6.74,-13.77,-8.61,7.19,3.13,-4.73,-0.63,-1.98,-2.98,-7.34,4.46,2.37,2.23,-4.29,-3.45
193005,1.6,-0.71,1.6,-3.82,-1.13,-7.71,-4.46,-1.75,-2.6,-6.03,-1.62,-0.07,-5.94,-5.16,4.78,-6.01,5.14,-2.28,-4.07,-1.59,0.14,-15.01,-2.7,-0.2,-0.7,-8.47,-0.19,-2.12,-5.97,-8.41
193006,-11.82,-29.46,-9.13,-23.44,-12.24,-24.84,-12.67,-13.61,-18,-18.53,-18.81,-13.5,-17.34,-20.34,-22.92,-18.01,-8.24,-11.82,-15.94,-19.33,-8.61,-3.74,-18.74,-17.2,-10.13,-24.37,-16.35,-17.53,-21.71,-18.32
193007,3.02,1.54,2.73,2.57,3.45,5.64,3.03,6.32,5.25,5.2,7.54,3.21,2.84,3.79,11.61,4.6,3.44,-1.66,5.3,3.86,1.07,1.68,4.18,7.31,3.05,-1.46,2.58,2.59,4.22,8.29
193008,1.54,9.15,4.53,3.62,-2.27,0.54,-2.98,7.62,4.26,-1.54,-2.72,-2.55,0.88,1.54,-2.33,0.25,-13.23,2.31,-3.56,1.09,1.65,5.67,4.34,-1.53,0.23,-7.8,5.33,1.66,1.17,-0.95
193009,-10.25,-12.5,-9,-18.45,-4,-10.75,-3.59,-8.92,-14.34,-13.23,-15.94,-12.06,-16.81,-20.27,-16.64,-17.85,-9.49,-6.1,-16.16,-12.14,-5.49,-6.89,-11.67,-13.04,-8.6,-9.87,-11.02,-14.2,-18.31,-18.36
193010,-4.98,-1.33,-4.83,-8.94,-6.87,-4.71,-5.28,-4.46,-12.41,-3.8,-14.54,-9.04,-10.75,-18.73,-11.31,-11.79,-10.68,-11.54,-8.28,-8.37,-4.21,0.18,-13.1,-3.18,-6.86,-6.09,-8.67,-10.47,-15.43,-14.8
193011,0.9,3.41,-1.06,-6.57,-3.11,-1.97,1.38,-3.36,-0.03,-4.48,-3.03,-1.43,-0.86,-3.74,5.78,3.5,4.4,-9.75,-3.53,-8.87,-3.4,-6.79,-2.28,0.1,-5.55,2.62,2.84,-2.59,-8.45,2.1
193012,-4.94,-11.72,-3.25,-15.32,-5.16,-6.29,-7.61,-6.93,-4.84,-6.28,-12.38,-8.9,-9.68,-12.17,-1.72,-14.79,-8.46,-8.97,-12.63,-3.83,-3.94,0.86,-6.93,-5.95,-8.05,-4.08,-14,-8.31,-12.56,-13.38
193101,5.38,6.47,6.28,16.04,1.63,8.62,-0.37,8.08,-0.85,13.18,5.9,2.86,5.45,4.9,6.9,10.96,6.81,14.01,4.69,5.38,4.64,5.66,5.66,2.74,11.44,4.72,7.07,6.9,18.44,17.49
193102,7,16.71,6.9,8.39,2.06,6.17,2.88,7.77,13.54,15.4,14.29,14.31,11.73,25.02,17.26,11.46,14.12,-0.68,6.09,15.23,5.91,1.98,14.48,12.75,2.26,-2.09,15.29,11.07,17.02,16.21
193103,-2.67,-26.81,0.09,-6.45,-1.74,-3.86,1.18,1.67,-7.38,-3.23,-6.31,-7.47,-8.35,-8.1,-4.31,-8.09,-6.84,-13.03,-14.46,-3.07,-3.71,0.96,-7.24,-0.56,-10.57,-3.26,-3.38,-5.61,-8.61,16.98
193104,-8.55,-20.83,2.61,-27.41,-9.89,-4.33,-8.29,-3.7,-12.91,-12.21,-13.92,-17.35,-15.85,-14.71,-7.8,-16.68,-12.92,-10.01,-13.72,-9.12,-4.33,-1.41,-8.07,-8.33,-7.36,-4.46,-4.58,-12.74,-15.27,-18.72
193105,-12.3,-9.75,-11.22,-23.87,-10.76,-11.03,-0.58,-10.35,-12.09,-7.65,-15.83,-20.81,-19.11,-11.56,-15.97,-16.66,-8.69,-18.74,-12.28,-11.24,-9.03,-50.74,-17.27,-15.17,-17.25,-15.29,-3,-6.31,-19.02,-7.7
193106,10.48,10.13,12.55,22.55,1.62,8.45,11.57,9.61,19.36,8.33,14.73,19.3,12.22,18.49,15.06,21.3,6.9,22.17,17.24,10.92,10.13,1.47,18.99,15.3,16,2.71,7.94,5.04,23.3,13.89
193107,-4.07,-10.02,-3.55,-8.85,-3.09,-1.77,-3.37,2.55,-6.37,-5.7,-10.12,-15.21,-12.23,-10.37,-2.44,-9.13,-8.18,-16.23,-3.05,-5.45,-4.93,-1.59,-10.64,-12.78,-10.53,-8.17,-1.25,-8.24,-8.78,1.66
193108,1.44,13.79,-3.54,7.05,-6.26,-1.08,-2.43,0.36,1.34,0.28,-2.98,0.53,-1.76,3.77,-2.69,-3.08,2.54,-2.92,9.99,-1.77,0.79,0.16,3.4,0.88,-6.83,1.34,3.08,1.07,0.35,-0.37
193109,-28.41,-25.2,-21.73,-42.52,-22.16,-35,-8.42,-29.48,-30.45,-21.63,-31.3,-27.17,-33.38,-34.56,-34.91,-30.97,-31.82,-29.72,-29.87,-33.08,-21.59,-16.69,-31.82,-23.67,-20.7,-26.15,-30.44,-27.2,-39.92,-26.38
193110,10.55,25.08,5.98,18.88,-18.05,16.17,-2.57,11.16,4.81,2.67,5.46,1.97,8.98,11.66,12.18,13.13,18.61,1.8,14.38,10.38,4.24,2.31,9.8,11.48,-3.16,7.27,14.1,11.01,11.87,4.64
193111,-3.2,-10.83,-6.27,-30.6,-10.42,-7.82,-1.48,-2.96,-5.28,-10.31,-10.08,-10.27,-7.43,-16.04,-3.85,-13.14,-15.49,-17.9,-8.55,-4.94,-7.03,-3.33,-9,-9.93,-21.49,-17.95,-9.29,-14.74,-11.27,-4.39
193112,-10.42,-7.95,-6.38,-30.47,-21.14,-9.3,-14.33,-4.22,-6.41,-6.71,-17.66,-25.71,-17.55,-14.33,-8.37,-16.88,-12.97,-22.84,-18.91,-13.36,-8.06,-21.54,-11.73,-12.27,-14.97,-22.45,-15.29,-13.44,-21.09,-13.71
193201,-1.73,-6.14,7.94,16.76,-5.54,1.16,4.48,-2.89,-6.08,0.82,-1.39,3.13,1.25,-14.44,-8.08,12.12,1.18,5.55,-5.4,-2.75,-4.27,-1.03,-3.79,-0.97,7.73,-0.51,0.7,-4.09,3.61,5.11
193202,7.23,17.57,3.05,6,-1.47,2.7,0.74,1.82,8.66,2.89,10.07,4.8,-1.58,8.36,1.79,1.4,-2.17,-3.73,8.92,6.81,11.4,1.86,0.28,11.37,-4.31,3.59,3.8,7.2,13.34,3.23
193203,-7.23,-11.45,-4.67,-22.52,-11.89,-16.89,-2.54,-6.57,-11.76,-4.15,-14.27,-16.85,-12.72,-17.33,-22.29,-21.57,-6.3,-16.59,-0.81,-9.73,-10.06,-1.6,-7.1,-8.48,-17.71,-44.01,-9.07,-7.38,-15.34,-14.51
193204,-13.11,-9.88,-10,-24.07,-14.26,-8.76,-5.13,-19.88,-33.41,-11.76,-15.83,-19.69,-20.38,-23.08,-28.69,-15.41,-14.55,-17.64,-13.96,-15.61,-12.5,-5.06,-27.18,-29.4,-25.05,-4.78,-15.72,-19.87,-19.33,-17.3
193205,-22.98,-25.36,-21.51,-44.28,-26.3,-21.05,-3.87,-34.14,-10.24,-23.07,-17.72,-23.02,-21.2,-33.8,-18.51,-25.06,-10.93,-22.04,-5.23,-26.88,-10.87,-2.25,-15.55,-15.61,-33.74,-36.68,-29.41,-26.17,-30.4,-14.76
193206,-0.3,19.24,5.83,11.2,-22.26,-15.71,-5.06,11.03,-5.04,-4.87,2.73,2.07,-5.62,10.13,-7.48,9.66,-10.21,-5.22,6.15,1.43,-9.57,-20.16,0.6,-3.63,-3.02,6.54,-0.72,0.03,6.26,-1.88
193207,30.56,19.41,24.64,66.12,45.57,34.55,-21.04,29.15,28.95,30.43,34.61,62.1,43.63,55.46,44.54,45.04,46.07,56.19,34.72,29.32,16.67,24.53,19.32,21.46,61.27,16.24,27.3,25.36,51.95,30.51
193208,24.12,40.12,17.57,66.65,40.42,26.4,27.19,35.84,36.37,58.48,37.56,59.07,52.05,49.98,48.37,44.79,29.54,125.4,17.24,43.43,28.14,-0.81,33.08,42.66,65.33,57.61,32.99,24.47,59.07,37.86
193209,-1.34,-3.08,0.08,-10.33,0.96,0.21,1.18,-11.95,5.73,-11.06,2.31,-10.05,-4.25,-6.05,5.72,10.23,-5.69,-5.92,-10.37,-4.68,0.21,-1.83,-4.25,-3.11,-2.57,24.76,2.96,1.29,-6.88,-9.9
193210,-9.45,-12.69,-14,-25.99,-22.55,-11.01,-8.74,-18.58,-16.18,-13.01,-15.7,-15.8,-22.4,-21.33,-24.64,-21.29,-7.16,-21.26,-3.06,-10.84,-8.15,-2.81,-11.8,-3.95,-19.65,-20.24,-12.55,-14.23,-17.1,-8.25
193211,-6.63,-5.28,-8.36,-10.21,-3.92,-5.34,-4.24,5.51,-1.72,-9.65,-6.09,-22.57,-6.6,-9.4,-2.74,-6.93,2.33,-19.45,-4.04,-3.62,-1.14,0.22,-5.02,-2.87,-9.59,-10.4,-5.57,-6.61,-3.41,-9.91
193212,7.17,6.5,0.9,-12.59,-11.63,1.57,-1.64,6.81,13.01,-6.87,1.03,-8.32,2.78,7.53,5.25,6.13,-1.59,-7.24,0.26,9.11,3.66,-1.47,7.48,9.25,5.81,-10.08,5.24,3.66,8.9,-3.65
193301,0.67,-15.52,11.4,-24.22,0.67,-7.34,10.57,-1.14,4.16,-2.31,-1.09,2.63,6.68,0.35,0.74,10.5,-0.18,9.48,-3.36,-4.39,0.3,9.11,4.27,10.5,14.33,-6.32,-2.72,9.02,1.5,-1.41
193302,-9.63,-11.56,-8.52,-19.42,-20.76,-21.16,-4.47,-10.79,-16.43,-7.13,-16.7,-17,-23.3,-22.41,-24.86,-17.7,-8.12,-23.38,-13.58,-19.82,-7.74,-10.65,-14.08,-12.73,-16.32,-7.77,-17.98,-18.21,-20.13,-6.24
193303,12.12,25.48,7.89,-10.18,15.76,11.55,8.82,-3.2,5.1,2.56,12.59,14.68,23.9,7.21,9.65,13.11,8.71,9.64,4.2,-12.83,-5.89,0.84,3.82,6.77,6.94,0.03,8.86,0.77,-6.88,1.08
193304,33.21,28.92,32.94,62.04,51.9,58.23,41.3,37.03,46.5,52.87,39.64,80.74,48.57,59.48,81.78,47.95,26.29,35.64,38.98,25.26,13.12,1.31,38.85,43.03,27.79,46.08,43.41,9.79,42.8,45.19
193305,11.16,87.57,9.14,53.93,24.53,17.91,25.98,23.45,28.74,39.41,43.76,23.25,30.42,18.9,25.24,25.48,32.66,31.65,17.28,19.25,17.33,11.42,22.21,14.53,32.54,57.45,16.39,24.87,26.1,45.69
193306,13.18,35.15,4.7,18.84,27.42,6.33,2.41,10.37,11.69,20.42,21.24,11.28,14.51,10.09,19.67,19.68,12.58,25,12.08,15.56,10.48,4.1,12.7,5.22,13.78,49.88,16.02,11.58,18.42,16.15
193307,-8.18,-14.99,-2.12,-7.4,-22.55,-9.15,-4.35,-19.13,-9.18,-15.7,-14.95,-10.19,-20.09,-11.38,-6.82,-16.33,-8.8,-24.35,-11.63,-13.6,-4.38,-1.1,-10.33,-5.54,-4.48,-12.89,-13.42,-16.18,-12.4,-2.89
193308,8.91,33.17,10.14,29.28,22.14,11.24,5.8,-0.41,21.01,10.88,14.56,11.52,19.7,13.44,19.86,23.9,17.11,16.78,19.11,-1.26,4.5,-1.83,11.35,10.66,15.58,12.49,7.02,8,9.17,22.16
193309,-8.75,-5.82,-3.72,-8,-26.65,-12.19,-12,-1.33,-7.74,-10.22,-14.61,-8.96,-15.73,-19.32,-15.15,-14.51,5.56,-20.27,-2.19,-19.76,-3.58,-3.1,-11.39,-4.2,-20.13,-21.79,-8.47,-12,-16.89,-11.46
193310,-8.18,-3.38,-11.61,-12.75,-6.3,-6.42,-3.69,-6.03,-4.67,-9.86,-6.66,-12.6,-5.38,-10.9,-10.27,-13.53,-4.6,-17.88,-4.54,-7.51,-7.19,69.36,-6.9,-2.66,-12.66,-7.18,-7.63,-16.77,-13.11,-7.7
193311,5.97,-7.21,4.43,4.74,-0.28,7.51,9.63,9.38,15.58,2.96,10.46,10.94,13.35,12.03,25.61,12.46,0.03,8.02,14.81,-2.41,5.61,-0.15,14.64,10.64,6.35,7.37,14.72,6.31,6.53,8.69
193312,-3.26,-1.51,-4.89,-4.16,2.84,-4.35,-1.88,-11.75,6.73,6.17,3.55,5.03,2.22,0.5,9.58,8.05,-1.2,-3.49,-1.17,1.03,-3.77,-0.92,3.67,3.16,6.86,-8.16,4.84,-0.59,3.48,7.72
193401,10.19,15.3,6.41,16.54,26.64,10.39,16.26,16.72,4.6,23.14,16.53,12.84,18.58,17.28,13.02,24.64,2.23,25.99,8.33,20.47,5.92,4.63,13.24,4.2,20.75,26.45,16.84,30.6,23.84,13.17
193402,-6.53,-12.47,-3.12,9.54,1.01,0.39,-3.47,-3.61,-2.73,1.33,-6.62,-2,-4.11,-8.21,-2.52,-9.13,2.85,-0.05,-3.47,-1.71,2.1,-0.47,-2,2.16,-3.17,5.35,2.93,5.55,-1.81,5.5
193403,2.31,2.82,-0.6,4.6,5.75,-6.12,-1.95,-0.66,-0.96,0.76,-1.51,-1.2,-0.36,6.45,-0.37,0.54,4.64,-6.64,-1.23,-1.82,1.25,1.97,-3.93,-1.43,0.02,2.3,2.27,7.21,0.64,-1.63
193404,3.2,-1.16,4.16,-3.58,10.4,-0.09,-1.56,7.99,-3.22,-2.41,-1.31,-4.74,-4.13,-4.42,-6.57,-2.35,-2.93,-1.8,-2.01,-3.76,-1.26,0.75,2.65,3.04,-1.41,2.22,-1.15,-6,-1.02,-1.15
193405,-4.25,-17.59,1.39,-2.74,-7.7,-6.08,-5.2,-0.39,-7.06,-12.1,-10.64,-12.59,-13.2,-8.13,-13.15,-12.61,1.12,-9.07,-4.54,-7.74,-4.31,-1.45,-3.23,-7.67,-8.98,-9.38,-7.8,-13.49,-8.34,-7.93
193406,3.67,-2.83,5.16,-13.49,0.03,6.28,2.22,2.03,4.4,2.01,5.13,6.28,2.5,1.41,-2.89,-3.55,3.62,3.5,1.14,4.25,1.31,0.83,5.7,4.32,3.29,-3.05,2.57,-2.73,5.09,5.85
193407,-5.53,-24.36,-0.91,-24.93,-20.16,-8.83,-8.46,-1.9,-5.14,-17.83,-16.72,-16.26,-18.29,-14.22,-14.34,-17.28,-10.57,-23.13,-9.45,-17.25,-4.35,-2.22,-7.4,-3.24,-19.39,-15.88,-8.09,-16.61,-14.79,-6.39
193408,4.42,14.27,3.62,21.71,3.98,7.54,1.79,-3.06,6.2,5.78,10.65,8.81,10.61,7.16,11.18,2.63,9.9,8.52,6.07,2.03,2.55,-38.58,5.55,4.99,3,9.74,4.6,8.2,5.62,7.22
193409,-1.59,-1.77,2.61,9.79,-2.14,-3.24,1.69,0.79,0.8,4.28,-2.31,-4.3,2.63,-0.83,0.57,-2.3,-3.61,4.03,-2.45,1.6,1.89,3.68,0.58,1.53,0.43,0.46,2.67,-2.56,-2.4,-0.4
193410,-1.02,3.2,2.86,-5.03,-1.74,6.22,2.62,-0.72,0.25,-4.38,2.98,-6.05,1.81,-4.73,-2.5,2.08,-6.53,-0.46,-4.78,-7.62,-1.57,63.61,5.86,1.48,-3.28,7.89,1.68,-3.32,1.88,3.36
